colour	x	xend	y	yend	tooltip	showSelected1	PANEL
#FF7A58	-0.0302000769005074	0.210985323246747	2	2	0.672340334765348	Reduced.Lunch.Eligible.sd	1
#FFAA8F	-0.0302000769005074	0.210985323246747	2	2	0.442267679100844	Reduced.Lunch.Eligible.median	1
#FF6543	-0.0302000769005074	0.210985323246747	2	2	0.761395254745779	Total.Students.mean	1
#FF0000	-0.0302000769005074	0.210985323246747	2	2	0.999971549075986	Total.Students.sd	1
#FF7F5E	-0.0302000769005074	0.210985323246747	2	2	0.646544974491052	Total.Students.median	1
#FF8969	-0.0302000769005074	0.210985323246747	2	2	0.601017462450389	Free.and.Reduced.Lunch.Students..Public.School..mean	1
#FF5737	-0.0302000769005074	0.210985323246747	2	2	0.814609968184694	Free.and.Reduced.Lunch.Students..Public.School..sd	1
#FF9B7E	-0.0302000769005074	0.210985323246747	2	2	0.514726670894903	Free.and.Reduced.Lunch.Students..Public.School..median	1
#D8BEFF	-0.0302000769005074	0.210985323246747	2	2	-0.2777669166378	Free.Reduced.Lunch.Rate.min	1
#FFF8F5	-0.0302000769005074	0.210985323246747	2	2	0.0366383581098095	Free.Reduced.Lunch.Rate.max	1
#EEE2FF	-0.0302000769005074	0.210985323246747	2	2	-0.124490238740332	Free.Reduced.Lunch.Rate.mean	1
#FFBFAA	-0.0302000769005074	0.210985323246747	2	2	0.333865537344196	Free.Reduced.Lunch.Rate.sd	1
#F0E5FF	-0.0302000769005074	0.210985323246747	2	2	-0.110954347603111	Free.Reduced.Lunch.Rate.median	1
#FFE5DB	-0.0302000769005074	0.210985323246747	2	2	0.136699882593536	City..Large	1
#D7BCFF	-0.0302000769005074	0.210985323246747	2	2	-0.285995502459406	Rural..Distant	1
#D5BAFF	-0.0302000769005074	0.210985323246747	2	2	-0.295694538741128	Rural..Remote	1
#FFB49C	-0.0302000769005074	0.210985323246747	2	2	0.390031737809103	Suburb..Large	1
#FFC5B1	-0.0302000769005074	0.210985323246747	2	2	0.303408659863188	Town..Distant	1
#FFEEE8	-0.0302000769005074	0.210985323246747	3	3	0.0867649338365621	Designate.district.level.contact.person.	1
#FFCDBC	-0.0302000769005074	0.210985323246747	3	3	0.259415592472227	Administer.implementation.survey..e.g..Collabor...	1
#FF0000	-0.0302000769005074	0.210985323246747	3	3	1	Use.technology.to.increase.the.quality.and.time...	1
#FFC3AF	-0.0302000769005074	0.210985323246747	3	3	0.313473642641673	Participate.in.regional..cadre..and.state.event...	1
#FF9172	-0.0302000769005074	0.210985323246747	3	3	0.561845702442026	Annually..summarize.district.wide.fidelity.and....	1
#FFAC92	-0.0302000769005074	0.210985323246747	3	3	0.432160570849643	Align.implementation.goals.with.CSIP..Comprehen...	1
#FFD4C5	-0.0302000769005074	0.210985323246747	3	3	0.225391268916134	CFA_avg	1
#FFD4C5	-0.0302000769005074	0.210985323246747	3	3	0.226904472255172	ETLP_avg	1
#FFD9CC	-0.0302000769005074	0.210985323246747	3	3	0.19650589036478	DBDM_avg	1
#FFE6DD	-0.0302000769005074	0.210985323246747	3	3	0.130804758310784	PD_avg	1
#FFE6DC	-0.0302000769005074	0.210985323246747	3	3	0.133035153401513	Leadership_avg	1
#FFDACD	-0.0302000769005074	0.210985323246747	3	3	0.192457611056313	Total.Students..All.Grades..Excludes.AE...Public.School..mean	1
#FFDCCF	-0.0302000769005074	0.210985323246747	3	3	0.185693392033226	Total.Students..All.Grades..Excludes.AE...Public.School..sd	1
#FFE0D4	-0.0302000769005074	0.210985323246747	3	3	0.164127327601959	Total.Students..All.Grades..Excludes.AE...Public.School..median	1
#FFFFFF	-0.0302000769005074	0.210985323246747	3	3	-0.000771233677086863	Full.Time.Equivalent..FTE..Teachers..Public.School..min	1
#FFD9CB	-0.0302000769005074	0.210985323246747	3	3	0.200560273803773	Full.Time.Equivalent..FTE..Teachers..Public.School..max	1
#FFE1D6	-0.0302000769005074	0.210985323246747	3	3	0.158246671881474	Full.Time.Equivalent..FTE..Teachers..Public.School..mean	1
#FFDCCF	-0.0302000769005074	0.210985323246747	3	3	0.185072313496813	Full.Time.Equivalent..FTE..Teachers..Public.School..sd	1
#FFE6DD	-0.0302000769005074	0.210985323246747	3	3	0.132737436563034	Full.Time.Equivalent..FTE..Teachers..Public.School..median	1
#FFFEFE	-0.0302000769005074	0.210985323246747	3	3	0.00470676584800748	Pupil.Teacher.Ratio..Public.School..min	1
#FFE1D6	-0.0302000769005074	0.210985323246747	3	3	0.157546076014736	Pupil.Teacher.Ratio..Public.School..max	1
#FFDBCF	-0.0302000769005074	0.210985323246747	3	3	0.186280924120946	Pupil.Teacher.Ratio..Public.School..mean	1
#FFF5F1	-0.0302000769005074	0.210985323246747	3	3	0.051922988108451	Pupil.Teacher.Ratio..Public.School..sd	1
#FFDACC	-0.0302000769005074	0.210985323246747	3	3	0.196328919082802	Pupil.Teacher.Ratio..Public.School..median	1
#FFE7DE	-0.0302000769005074	0.210985323246747	3	3	0.127621941592873	Free.Lunch.Eligible.mean	1
#FFE1D7	-0.0302000769005074	0.210985323246747	3	3	0.15607227166904	Free.Lunch.Eligible.sd	1
#FFE9E2	-0.0302000769005074	0.210985323246747	3	3	0.11319533752419	Free.Lunch.Eligible.median	1
#FFF7F4	-0.0302000769005074	0.210985323246747	3	3	0.0406623077767445	Reduced.Lunch.Eligible.min	1
#FFEFE9	-0.0302000769005074	0.210985323246747	3	3	0.0862036219633113	Reduced.Lunch.Eligible.mean	1
#FFEBE3	-0.0302000769005074	0.210985323246747	3	3	0.107392851103947	Reduced.Lunch.Eligible.sd	1
#FFF0EA	-0.0302000769005074	0.210985323246747	3	3	0.0794890199602493	Reduced.Lunch.Eligible.median	1
#FFDACD	-0.0302000769005074	0.210985323246747	3	3	0.193499184745248	Total.Students.mean	1
#FFDCCF	-0.0302000769005074	0.210985323246747	3	3	0.185244704274458	Total.Students.sd	1
#FFDFD4	-0.0302000769005074	0.210985323246747	3	3	0.165223633379369	Total.Students.median	1
#FFE4DB	-0.0302000769005074	0.210985323246747	3	3	0.14025934829405	Free.and.Reduced.Lunch.Students..Public.School..mean	1
#FFE1D6	-0.0302000769005074	0.210985323246747	3	3	0.159175768650379	Free.and.Reduced.Lunch.Students..Public.School..sd	1
