label	group	x	y
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.median	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
Free.Lunch.Eligible.sd	-1	0	0
