y	showSelected2	group
0.5	District.Leadership.Team.Members	330
0.6	District.Leadership.Team.Members	331
0.2	District.Leadership.Team.Members	332
1	District.Leadership.Team.Members	333
0.416666666666667	District.Leadership.Team.Members	334
0.909090909090909	District.Leadership.Team.Members	335
1	District.Leadership.Team.Members	336
1	District.Leadership.Team.Members	337
0	District.Leadership.Team.Members	338
1	District.Leadership.Team.Members	339
1	District.Leadership.Team.Members	340
0.8	District.Leadership.Team.Members	341
1	District.Leadership.Team.Members	342
0.666666666666667	District.Leadership.Team.Members	343
1	District.Leadership.Team.Members	344
0.666666666666667	District.Leadership.Team.Members	345
0.923076923076923	District.Leadership.Team.Members	346
0.833333333333333	District.Leadership.Team.Members	347
0.5	District.Leadership.Team.Members	348
0.5	District.Leadership.Team.Members	349
0.333333333333333	District.Leadership.Team.Members	350
1	District.Leadership.Team.Members	351
0.333333333333333	District.Leadership.Team.Members	352
0.5	District.Leadership.Team.Members	353
1	District.Leadership.Team.Members	354
0.8	District.Leadership.Team.Members	355
0.8	District.Leadership.Team.Members	356
0.666666666666667	District.Leadership.Team.Members	357
0	District.Leadership.Team.Members	358
0.675675675675676	District.Leadership.Team.Members	359
0.923076923076923	District.Leadership.Team.Members	360
0.647058823529412	District.Leadership.Team.Members	361
0.75	District.Leadership.Team.Members	362
0.666666666666667	District.Leadership.Team.Members	363
0.333333333333333	District.Leadership.Team.Members	364
0.625	District.Leadership.Team.Members	365
0.432432432432432	District.Leadership.Team.Members	366
0.285714285714286	District.Leadership.Team.Members	367
0.25	District.Leadership.Team.Members	368
0.65	District.Leadership.Team.Members	369
0.266666666666667	District.Leadership.Team.Members	370
0.875	District.Leadership.Team.Members	371
0.333333333333333	District.Leadership.Team.Members	372
0.571428571428571	District.Leadership.Team.Members	373
0.6	District.Leadership.Team.Members	374
0.428571428571429	District.Leadership.Team.Members	375
0.214285714285714	District.Leadership.Team.Members	376
0.166666666666667	District.Leadership.Team.Members	377
0	District.Leadership.Team.Members	378
1	District.Leadership.Team.Members	379
0.625	District.Leadership.Team.Members	380
0.666666666666667	District.Leadership.Team.Members	381
0.333333333333333	District.Leadership.Team.Members	382
0	District.Leadership.Team.Members	383
0.5	District.Leadership.Team.Members	384
0	District.Leadership.Team.Members	385
0.307692307692308	District.Leadership.Team.Members	386
0.166666666666667	District.Leadership.Team.Members	387
0.277777777777778	District.Leadership.Team.Members	388
0.857142857142857	District.Leadership.Team.Members	389
0	District.Leadership.Team.Members	390
0.25	District.Leadership.Team.Members	391
0.25	District.Leadership.Team.Members	392
0.375	District.Leadership.Team.Members	393
0.733333333333333	District.Leadership.Team.Members	394
0.75	District.Leadership.Team.Members	395
0.285714285714286	District.Leadership.Team.Members	396
0.5	District.Leadership.Team.Members	397
0.833333333333333	District.Leadership.Team.Members	398
0.833333333333333	District.Leadership.Team.Members	399
1	District.Leadership.Team.Members	400
0.714285714285714	District.Leadership.Team.Members	401
0.5625	District.Leadership.Team.Members	402
1	District.Leadership.Team.Members	403
0.285714285714286	District.Leadership.Team.Members	404
0.55	District.Leadership.Team.Members	405
0.125	District.Leadership.Team.Members	406
0.5	District.Leadership.Team.Members	407
0.875	District.Leadership.Team.Members	408
1	District.Leadership.Team.Members	409
0.888888888888889	District.Leadership.Team.Members	410
1	District.Leadership.Team.Members	411
0.75	District.Leadership.Team.Members	412
1	District.Leadership.Team.Members	413
1	District.Leadership.Team.Members	414
0.5	District.Leadership.Team.Members	415
0.75	District.Leadership.Team.Members	416
0.4	District.Leadership.Team.Members	417
1	District.Leadership.Team.Members	418
0.529411764705882	District.Leadership.Team.Members	419
0.695652173913043	District.Leadership.Team.Members	420
0	District.Leadership.Team.Members	421
1	District.Leadership.Team.Members	422
