x	y	label	showSelected1	group
2	15	Collective.teacher.efficacy	Area.Supervisor	8
2	18	Collective.teacher.efficacy	Parents	9
2	5	Collective.teacher.efficacy	Collaborative.teams	10
2	7	Collective.teacher.efficacy	Common.formative.assessment	11
2	8	Collective.teacher.efficacy	Data.based.decision.making	12
2	13	Collective.teacher.efficacy	Effective.teaching.learning.practices	13
2	10	Collective.teacher.efficacy	Instructional.Leadership	14
2	2	Collective.teacher.efficacy	School.based.implementation.coaching	15
2	1	Collective.teacher.efficacy	Collective.teacher.efficacy	16
2	10	Collective.teacher.efficacy	MMD.DCI.expectations.logistics.DESE.specifics	17
2	21	Collective.teacher.efficacy	Alignment.and.systems.planning	18
2	16	Collective.teacher.efficacy	Practice.profiles	19
2	20	Collective.teacher.efficacy	Self.assessment.practice.profile..SAPP.	20
2	14	Collective.teacher.efficacy	Learning.module.materials..i.e..power.points..handouts.	21
2	19	Collective.teacher.efficacy	DESE.virtual.learning.platform	22
2	25	Collective.teacher.efficacy	Review.of.CFA.data	23
2	22	Collective.teacher.efficacy	CWIS	24
2	3	Collective.teacher.efficacy	Distance.Learning	25
2	7	Collective.teacher.efficacy	Virtual.Learning.Modules.and.or.PowerPoints	26
2	29	Collective.teacher.efficacy	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	27
2	30	Collective.teacher.efficacy	Interaction.Type_Virtual	28
2	30	Collective.teacher.efficacy	Interaction.Type_In-person	29
2	17	Collective.teacher.efficacy	Interaction.Type_In-person and virtual	30
2	14	Collective.teacher.efficacy	Interaction.Type_Phone	31
2	20	Collective.teacher.efficacy	Interaction.Type_Unknown	32
2	29	Common.formative.assessment	District.Leadership.Team.Members	1
2	15	Common.formative.assessment	District.Contact.Person	2
2	16	Common.formative.assessment	Building.Leadership.Team.Members	3
2	26	Common.formative.assessment	Other.District.Administrators	4
2	10	Common.formative.assessment	Other.Building.Administrators	5
2	7	Common.formative.assessment	Building.level.Educators	6
2	16	Common.formative.assessment	RPDC.Director	7
2	19	Common.formative.assessment	Area.Supervisor	8
2	16	Common.formative.assessment	Parents	9
2	3	Common.formative.assessment	Collaborative.teams	10
2	1	Common.formative.assessment	Common.formative.assessment	11
