x	y	label	clickSelects	showSelected1	group
2	16.7	Collaborative.teams	Collaborative.teams	District.Contact.Person	130
2	5.7	Collaborative.teams	Collaborative.teams	Building.Leadership.Team.Members	131
2	20.7	Collaborative.teams	Collaborative.teams	Other.District.Administrators	132
2	23.7	Collaborative.teams	Collaborative.teams	Other.Building.Administrators	133
2	27.7	Collaborative.teams	Collaborative.teams	Building.level.Educators	134
2	22.7	Collaborative.teams	Collaborative.teams	RPDC.Director	135
2	19.7	Collaborative.teams	Collaborative.teams	Area.Supervisor	136
2	5.7	Collaborative.teams	Collaborative.teams	Parents	137
2	0.7	Collaborative.teams	Collaborative.teams	Collaborative.teams	138
2	2.7	Collaborative.teams	Collaborative.teams	Common.formative.assessment	139
2	1.7	Collaborative.teams	Collaborative.teams	Data.based.decision.making	140
2	13.7	Collaborative.teams	Collaborative.teams	Effective.teaching.learning.practices	141
2	5.7	Collaborative.teams	Collaborative.teams	Instructional.Leadership	142
2	4.7	Collaborative.teams	Collaborative.teams	School.based.implementation.coaching	143
2	3.7	Collaborative.teams	Collaborative.teams	Collective.teacher.efficacy	144
2	26.7	Collaborative.teams	Collaborative.teams	MMD.DCI.expectations.logistics.DESE.specifics	145
2	19.7	Collaborative.teams	Collaborative.teams	Alignment.and.systems.planning	146
2	7.7	Collaborative.teams	Collaborative.teams	Practice.profiles	147
2	11.7	Collaborative.teams	Collaborative.teams	Self.assessment.practice.profile..SAPP.	148
2	16.7	Collaborative.teams	Collaborative.teams	Learning.module.materials..i.e..power.points..handouts.	149
2	14.7	Collaborative.teams	Collaborative.teams	DESE.virtual.learning.platform	150
2	8.7	Collaborative.teams	Collaborative.teams	Review.of.CFA.data	151
2	23.7	Collaborative.teams	Collaborative.teams	CWIS	152
2	7.7	Collaborative.teams	Collaborative.teams	Distance.Learning	153
2	19.7	Collaborative.teams	Collaborative.teams	Virtual.Learning.Modules.and.or.PowerPoints	154
2	19.7	Collaborative.teams	Collaborative.teams	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	155
2	24.7	Collaborative.teams	Collaborative.teams	Interaction.Type_Virtual	156
2	12.7	Collaborative.teams	Collaborative.teams	Interaction.Type_In-person	157
2	28.7	Collaborative.teams	Collaborative.teams	Interaction.Type_In-person and virtual	158
2	19.7	Collaborative.teams	Collaborative.teams	Interaction.Type_Phone	159
2	3.7	Collaborative.teams	Collaborative.teams	Interaction.Type_Unknown	160
2	24.7	Collective.teacher.efficacy	Collective.teacher.efficacy	District.Leadership.Team.Members	161
2	24.7	Collective.teacher.efficacy	Collective.teacher.efficacy	District.Contact.Person	162
2	23.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Building.Leadership.Team.Members	163
2	23.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Other.District.Administrators	164
2	27.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Other.Building.Administrators	165
2	20.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Building.level.Educators	166
2	18.7	Collective.teacher.efficacy	Collective.teacher.efficacy	RPDC.Director	167
2	14.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Area.Supervisor	168
2	17.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Parents	169
2	4.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Collaborative.teams	170
2	6.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Common.formative.assessment	171
2	7.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Data.based.decision.making	172
2	12.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Effective.teaching.learning.practices	173
2	9.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Instructional.Leadership	174
2	1.7	Collective.teacher.efficacy	Collective.teacher.efficacy	School.based.implementation.coaching	175
2	0.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Collective.teacher.efficacy	176
2	9.7	Collective.teacher.efficacy	Collective.teacher.efficacy	MMD.DCI.expectations.logistics.DESE.specifics	177
2	20.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Alignment.and.systems.planning	178
2	15.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Practice.profiles	179
2	19.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Self.assessment.practice.profile..SAPP.	180
2	13.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Learning.module.materials..i.e..power.points..handouts.	181
2	18.7	Collective.teacher.efficacy	Collective.teacher.efficacy	DESE.virtual.learning.platform	182
2	24.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Review.of.CFA.data	183
2	21.7	Collective.teacher.efficacy	Collective.teacher.efficacy	CWIS	184
2	2.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Distance.Learning	185
2	6.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Virtual.Learning.Modules.and.or.PowerPoints	186
2	28.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	187
2	29.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Interaction.Type_Virtual	188
2	29.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Interaction.Type_In-person	189
2	16.7	Collective.teacher.efficacy	Collective.teacher.efficacy	Interaction.Type_In-person and virtual	190
