x	y	label	tooltip	clickSelects	showSelected1	group
2	-22.3	Building.level.Educators	0.0186281196566394	Building.level.Educators	Interaction.Type_Unknown	131
2	-11.3	Building.level.Educators	-0.0869287023006129	Building.level.Educators	ETLP_avg	132
2	-16.3	CWIS	0.137893328064525	CWIS	District.Leadership.Team.Members	232
2	-4.3	CWIS	0.353099585587935	CWIS	District.Contact.Person	233
2	-11.3	CWIS	-0.150652208126521	CWIS	Building.Leadership.Team.Members	234
2	-11.3	CWIS	0.109875522954771	CWIS	Other.District.Administrators	235
2	-10.3	CWIS	-0.138547517289742	CWIS	Other.Building.Administrators	236
2	-4.3	CWIS	-0.413596691609512	CWIS	Building.level.Educators	237
2	-4.3	CWIS	0.318880096895583	CWIS	RPDC.Director	238
2	-5.3	CWIS	0.151378895288551	CWIS	Area.Supervisor	239
2	-8.3	CWIS	-0.0561655502799141	CWIS	Parents	240
2	-20.3	CWIS	-0.0423243876679684	CWIS	Collaborative.teams	241
2	-23.3	CWIS	-0.0532398592844345	CWIS	Common.formative.assessment	242
2	-16.3	CWIS	0.0688238258135454	CWIS	Data.based.decision.making	243
2	-4.3	CWIS	-0.319524629263851	CWIS	Effective.teaching.learning.practices	244
2	-27.3	CWIS	-0.0177079978469281	CWIS	Instructional.Leadership	245
2	-14.3	CWIS	-0.0920042657015944	CWIS	School.based.implementation.coaching	246
2	-11.3	CWIS	0.0906039434171029	CWIS	Collective.teacher.efficacy	247
2	-3.3	CWIS	0.526870234514753	CWIS	MMD.DCI.expectations.logistics.DESE.specifics	248
2	-6.3	CWIS	0.27406830909614	CWIS	Alignment.and.systems.planning	249
2	-12.3	CWIS	0.148433522761373	CWIS	Practice.profiles	250
2	-4.3	CWIS	0.404360378413808	CWIS	Self.assessment.practice.profile..SAPP.	251
2	-12.3	CWIS	0.126625692444345	CWIS	Learning.module.materials..i.e..power.points..handouts.	252
2	-4.3	CWIS	0.427748634658118	CWIS	DESE.virtual.learning.platform	253
2	-31.3	CWIS	0.000483503511485308	CWIS	Review.of.CFA.data	254
2	-1.3	CWIS	1	CWIS	CWIS	255
2	-10.3	CWIS	-0.0778892611523653	CWIS	Distance.Learning	256
2	-16.3	CWIS	0.135611346914834	CWIS	Virtual.Learning.Modules.and.or.PowerPoints	257
2	-18.3	CWIS	-0.0280410772891441	CWIS	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	258
2	-3.3	CWIS	-0.160158965570829	CWIS	Interaction.Type_Virtual	259
2	-2.3	CWIS	-0.351608430788096	CWIS	Interaction.Type_In-person	260
2	-4.3	CWIS	-0.139717431709444	CWIS	Interaction.Type_In-person and virtual	261
2	-3.3	CWIS	-0.228928257195959	CWIS	Interaction.Type_Phone	262
2	-7.3	CWIS	-0.0785679925161789	CWIS	Interaction.Type_Unknown	263
2	-3.3	CWIS	-0.248568155636301	CWIS	ETLP_avg	264
2	-12.3	Collaborative.teams	0.175633455921077	Collaborative.teams	District.Leadership.Team.Members	133
2	-22.3	Collaborative.teams	-0.0571473134455251	Collaborative.teams	District.Contact.Person	134
2	-7.3	Collaborative.teams	0.214702233314155	Collaborative.teams	Building.Leadership.Team.Members	135
2	-21.3	Collaborative.teams	0.0398032028679096	Collaborative.teams	Other.District.Administrators	136
2	-14.3	Collaborative.teams	0.0947022110784396	Collaborative.teams	Other.Building.Administrators	137
2	-25.3	Collaborative.teams	0.0468831707899001	Collaborative.teams	Building.level.Educators	138
2	-25.3	Collaborative.teams	0.0133676403500573	Collaborative.teams	RPDC.Director	139
2	-27.3	Collaborative.teams	-0.0243609353862804	Collaborative.teams	Area.Supervisor	140
2	-24.3	Collaborative.teams	-0.0116904807763908	Collaborative.teams	Parents	141
2	-1.3	Collaborative.teams	1	Collaborative.teams	Collaborative.teams	142
2	-2.3	Collaborative.teams	0.433805112390646	Collaborative.teams	Common.formative.assessment	143
2	-2.3	Collaborative.teams	0.377347856266215	Collaborative.teams	Data.based.decision.making	144
2	-24.3	Collaborative.teams	0.0326566818455108	Collaborative.teams	Effective.teaching.learning.practices	145
2	-6.3	Collaborative.teams	0.182151920498544	Collaborative.teams	Instructional.Leadership	146
2	-15.3	Collaborative.teams	0.0818839624483557	Collaborative.teams	School.based.implementation.coaching	147
2	-3.3	Collaborative.teams	0.175002567003544	Collaborative.teams	Collective.teacher.efficacy	148
2	-27.3	Collaborative.teams	0.0330541112557203	Collaborative.teams	MMD.DCI.expectations.logistics.DESE.specifics	149
2	-29.3	Collaborative.teams	0.00748328229693161	Collaborative.teams	Alignment.and.systems.planning	150
2	-10.3	Collaborative.teams	0.159340568092987	Collaborative.teams	Practice.profiles	151
2	-9.3	Collaborative.teams	0.2414462166638	Collaborative.teams	Self.assessment.practice.profile..SAPP.	152
2	-10.3	Collaborative.teams	0.137521662230928	Collaborative.teams	Learning.module.materials..i.e..power.points..handouts.	153
2	-12.3	Collaborative.teams	0.182942530486703	Collaborative.teams	DESE.virtual.learning.platform	154
2	-5.3	Collaborative.teams	0.125341164881863	Collaborative.teams	Review.of.CFA.data	155
2	-28.3	Collaborative.teams	-0.0423243876679684	Collaborative.teams	CWIS	156
2	-21.3	Collaborative.teams	-0.0381541317059943	Collaborative.teams	Distance.Learning	157
2	-15.3	Collaborative.teams	-0.13597851928264	Collaborative.teams	Virtual.Learning.Modules.and.or.PowerPoints	158
2	-28.3	Collaborative.teams	0.00910957209614158	Collaborative.teams	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	159
2	-27.3	Collaborative.teams	-0.0259000737784207	Collaborative.teams	Interaction.Type_Virtual	160
2	-14.3	Collaborative.teams	0.153019433275982	Collaborative.teams	Interaction.Type_In-person	161
2	-18.3	Collaborative.teams	-0.0503473234116519	Collaborative.teams	Interaction.Type_In-person and virtual	162
2	-28.3	Collaborative.teams	-0.00741852004766871	Collaborative.teams	Interaction.Type_Phone	163
2	-6.3	Collaborative.teams	0.0887195447596957	Collaborative.teams	Interaction.Type_Unknown	164
2	-10.3	Collaborative.teams	-0.0937383093749676	Collaborative.teams	ETLP_avg	165
2	-27.3	Collective.teacher.efficacy	0.0414626832668957	Collective.teacher.efficacy	District.Leadership.Team.Members	166
2	-21.3	Collective.teacher.efficacy	0.0662944085140787	Collective.teacher.efficacy	District.Contact.Person	167
2	-21.3	Collective.teacher.efficacy	0.0572764274822339	Collective.teacher.efficacy	Building.Leadership.Team.Members	168
2	-14.3	Collective.teacher.efficacy	-0.081633160793051	Collective.teacher.efficacy	Other.District.Administrators	169
2	-13.3	Collective.teacher.efficacy	0.105165377985871	Collective.teacher.efficacy	Other.Building.Administrators	170
2	-26.3	Collective.teacher.efficacy	-0.0313779647785543	Collective.teacher.efficacy	Building.level.Educators	171
2	-26.3	Collective.teacher.efficacy	-0.00930482149231663	Collective.teacher.efficacy	RPDC.Director	172
2	-12.3	Collective.teacher.efficacy	0.100648932890237	Collective.teacher.efficacy	Area.Supervisor	173
2	-9.3	Collective.teacher.efficacy	-0.0438340175673215	Collective.teacher.efficacy	Parents	174
2	-9.3	Collective.teacher.efficacy	0.175002567003544	Collective.teacher.efficacy	Collaborative.teams	175
2	-20.3	Collective.teacher.efficacy	0.0622389409302433	Collective.teacher.efficacy	Common.formative.assessment	176
2	-9.3	Collective.teacher.efficacy	0.159716379952337	Collective.teacher.efficacy	Data.based.decision.making	177
2	-23.3	Collective.teacher.efficacy	0.0343580683767696	Collective.teacher.efficacy	Effective.teaching.learning.practices	178
2	-2.3	Collective.teacher.efficacy	0.288235494666248	Collective.teacher.efficacy	Instructional.Leadership	179
2	-8.3	Collective.teacher.efficacy	0.151785132510618	Collective.teacher.efficacy	School.based.implementation.coaching	180
2	-1.3	Collective.teacher.efficacy	1	Collective.teacher.efficacy	Collective.teacher.efficacy	181
2	-15.3	Collective.teacher.efficacy	0.139089526212488	Collective.teacher.efficacy	MMD.DCI.expectations.logistics.DESE.specifics	182
2	-23.3	Collective.teacher.efficacy	-0.0513312190157813	Collective.teacher.efficacy	Alignment.and.systems.planning	183
2	-16.3	Collective.teacher.efficacy	0.107094370898223	Collective.teacher.efficacy	Practice.profiles	184
2	-30.3	Collective.teacher.efficacy	0.0175808447992258	Collective.teacher.efficacy	Self.assessment.practice.profile..SAPP.	185
2	-28.3	Collective.teacher.efficacy	0.019274387351191	Collective.teacher.efficacy	Learning.module.materials..i.e..power.points..handouts.	186
2	-22.3	Collective.teacher.efficacy	0.0789094846107642	Collective.teacher.efficacy	DESE.virtual.learning.platform	187
