x	y	label	angle	showSelected1	showSelected2	group
0	0.5	Other.District.Administrators	90	Collaborative.teams	Other.District.Administrators	323
0	0.5	Other.District.Administrators	90	Common.formative.assessment	Other.District.Administrators	356
0	0.5	Other.District.Administrators	90	Data.based.decision.making	Other.District.Administrators	389
0	0.5	Other.District.Administrators	90	Effective.teaching.learning.practices	Other.District.Administrators	422
0	0.5	Other.District.Administrators	90	Instructional.Leadership	Other.District.Administrators	455
0	0.5	Other.District.Administrators	90	School.based.implementation.coaching	Other.District.Administrators	488
0	0.5	Other.District.Administrators	90	Collective.teacher.efficacy	Other.District.Administrators	521
0	0.5	Other.District.Administrators	90	MMD.DCI.expectations.logistics.DESE.specifics	Other.District.Administrators	554
0	0.5	Other.District.Administrators	90	Alignment.and.systems.planning	Other.District.Administrators	587
0	0.5	Other.District.Administrators	90	Practice.profiles	Other.District.Administrators	620
0	0.5	Other.District.Administrators	90	Self.assessment.practice.profile..SAPP.	Other.District.Administrators	653
0	0.5	Other.District.Administrators	90	Learning.module.materials..i.e..power.points..handouts.	Other.District.Administrators	686
0	0.5	Other.District.Administrators	90	DESE.virtual.learning.platform	Other.District.Administrators	719
0	0.5	Other.District.Administrators	90	Review.of.CFA.data	Other.District.Administrators	752
0	0.5	Other.District.Administrators	90	CWIS	Other.District.Administrators	785
0	0.5	Other.District.Administrators	90	Distance.Learning	Other.District.Administrators	818
0	0.5	Other.District.Administrators	90	Virtual.Learning.Modules.and.or.PowerPoints	Other.District.Administrators	851
0	0.5	Other.District.Administrators	90	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Other.District.Administrators	884
0	0.5	Other.District.Administrators	90	Interaction.Type_Virtual	Other.District.Administrators	917
0	0.5	Other.District.Administrators	90	Interaction.Type_In-person	Other.District.Administrators	950
0	0.5	Other.District.Administrators	90	Interaction.Type_In-person and virtual	Other.District.Administrators	983
0	0.5	Other.District.Administrators	90	Interaction.Type_Phone	Other.District.Administrators	1016
0	0.5	Other.District.Administrators	90	Interaction.Type_Unknown	Other.District.Administrators	1049
2.42857142857143	0.5	Other.District.Administrators	90	ETLP_avg	Other.District.Administrators	1082
0	0.5	Other.Building.Administrators	90	District.Leadership.Team.Members	Other.Building.Administrators	25
0	0.5	Other.Building.Administrators	90	District.Contact.Person	Other.Building.Administrators	58
0	0.5	Other.Building.Administrators	90	Building.Leadership.Team.Members	Other.Building.Administrators	91
0	0.5	Other.Building.Administrators	90	Other.District.Administrators	Other.Building.Administrators	124
0	0.5	Other.Building.Administrators	90	Other.Building.Administrators	Other.Building.Administrators	157
0	0.5	Other.Building.Administrators	90	Building.level.Educators	Other.Building.Administrators	190
0	0.5	Other.Building.Administrators	90	RPDC.Director	Other.Building.Administrators	223
0	0.5	Other.Building.Administrators	90	Area.Supervisor	Other.Building.Administrators	256
0	0.5	Other.Building.Administrators	90	Parents	Other.Building.Administrators	289
0	0.5	Other.Building.Administrators	90	Collaborative.teams	Other.Building.Administrators	322
0	0.5	Other.Building.Administrators	90	Common.formative.assessment	Other.Building.Administrators	355
0	0.5	Other.Building.Administrators	90	Data.based.decision.making	Other.Building.Administrators	388
0	0.5	Other.Building.Administrators	90	Effective.teaching.learning.practices	Other.Building.Administrators	421
0	0.5	Other.Building.Administrators	90	Instructional.Leadership	Other.Building.Administrators	454
0	0.5	Other.Building.Administrators	90	School.based.implementation.coaching	Other.Building.Administrators	487
0	0.5	Other.Building.Administrators	90	Collective.teacher.efficacy	Other.Building.Administrators	520
0	0.5	Other.Building.Administrators	90	MMD.DCI.expectations.logistics.DESE.specifics	Other.Building.Administrators	553
0	0.5	Other.Building.Administrators	90	Alignment.and.systems.planning	Other.Building.Administrators	586
0	0.5	Other.Building.Administrators	90	Practice.profiles	Other.Building.Administrators	619
0	0.5	Other.Building.Administrators	90	Self.assessment.practice.profile..SAPP.	Other.Building.Administrators	652
0	0.5	Other.Building.Administrators	90	Learning.module.materials..i.e..power.points..handouts.	Other.Building.Administrators	685
0	0.5	Other.Building.Administrators	90	DESE.virtual.learning.platform	Other.Building.Administrators	718
0	0.5	Other.Building.Administrators	90	Review.of.CFA.data	Other.Building.Administrators	751
0	0.5	Other.Building.Administrators	90	CWIS	Other.Building.Administrators	784
0	0.5	Other.Building.Administrators	90	Distance.Learning	Other.Building.Administrators	817
0	0.5	Other.Building.Administrators	90	Virtual.Learning.Modules.and.or.PowerPoints	Other.Building.Administrators	850
0	0.5	Other.Building.Administrators	90	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Other.Building.Administrators	883
0	0.5	Other.Building.Administrators	90	Interaction.Type_Virtual	Other.Building.Administrators	916
0	0.5	Other.Building.Administrators	90	Interaction.Type_In-person	Other.Building.Administrators	949
0	0.5	Other.Building.Administrators	90	Interaction.Type_In-person and virtual	Other.Building.Administrators	982
0	0.5	Other.Building.Administrators	90	Interaction.Type_Phone	Other.Building.Administrators	1015
0	0.5	Other.Building.Administrators	90	Interaction.Type_Unknown	Other.Building.Administrators	1048
2.42857142857143	0.5	Other.Building.Administrators	90	ETLP_avg	Other.Building.Administrators	1081
0	0.5	Building.level.Educators	90	District.Leadership.Team.Members	Building.level.Educators	4
0	0.5	Building.level.Educators	90	District.Contact.Person	Building.level.Educators	37
0	0.5	Building.level.Educators	90	Building.Leadership.Team.Members	Building.level.Educators	70
0	0.5	Building.level.Educators	90	Other.District.Administrators	Building.level.Educators	103
0	0.5	Building.level.Educators	90	Other.Building.Administrators	Building.level.Educators	136
0	0.5	Building.level.Educators	90	Building.level.Educators	Building.level.Educators	169
0	0.5	Building.level.Educators	90	RPDC.Director	Building.level.Educators	202
0	0.5	Building.level.Educators	90	Area.Supervisor	Building.level.Educators	235
0	0.5	Building.level.Educators	90	Parents	Building.level.Educators	268
0	0.5	Building.level.Educators	90	Collaborative.teams	Building.level.Educators	301
0	0.5	Building.level.Educators	90	Common.formative.assessment	Building.level.Educators	334
0	0.5	Building.level.Educators	90	Data.based.decision.making	Building.level.Educators	367
0	0.5	Building.level.Educators	90	Effective.teaching.learning.practices	Building.level.Educators	400
0	0.5	Building.level.Educators	90	Instructional.Leadership	Building.level.Educators	433
0	0.5	Building.level.Educators	90	School.based.implementation.coaching	Building.level.Educators	466
0	0.5	Building.level.Educators	90	Collective.teacher.efficacy	Building.level.Educators	499
0	0.5	Building.level.Educators	90	MMD.DCI.expectations.logistics.DESE.specifics	Building.level.Educators	532
0	0.5	Building.level.Educators	90	Alignment.and.systems.planning	Building.level.Educators	565
0	0.5	Building.level.Educators	90	Practice.profiles	Building.level.Educators	598
0	0.5	Building.level.Educators	90	Self.assessment.practice.profile..SAPP.	Building.level.Educators	631
0	0.5	Building.level.Educators	90	Learning.module.materials..i.e..power.points..handouts.	Building.level.Educators	664
0	0.5	Building.level.Educators	90	DESE.virtual.learning.platform	Building.level.Educators	697
0	0.5	Building.level.Educators	90	Review.of.CFA.data	Building.level.Educators	730
0	0.5	Building.level.Educators	90	CWIS	Building.level.Educators	763
0	0.5	Building.level.Educators	90	Distance.Learning	Building.level.Educators	796
0	0.5	Building.level.Educators	90	Virtual.Learning.Modules.and.or.PowerPoints	Building.level.Educators	829
0	0.5	Building.level.Educators	90	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Building.level.Educators	862
0	0.5	Building.level.Educators	90	Interaction.Type_Virtual	Building.level.Educators	895
0	0.5	Building.level.Educators	90	Interaction.Type_In-person	Building.level.Educators	928
0	0.5	Building.level.Educators	90	Interaction.Type_In-person and virtual	Building.level.Educators	961
0	0.5	Building.level.Educators	90	Interaction.Type_Phone	Building.level.Educators	994
0	0.5	Building.level.Educators	90	Interaction.Type_Unknown	Building.level.Educators	1027
2.42857142857143	0.5	Building.level.Educators	90	ETLP_avg	Building.level.Educators	1060
0	0.5	RPDC.Director	90	District.Leadership.Team.Members	RPDC.Director	30
0	0.5	RPDC.Director	90	District.Contact.Person	RPDC.Director	63
0	0.5	RPDC.Director	90	Building.Leadership.Team.Members	RPDC.Director	96
0	0.5	RPDC.Director	90	Other.District.Administrators	RPDC.Director	129
0	0.5	RPDC.Director	90	Other.Building.Administrators	RPDC.Director	162
0	0.5	RPDC.Director	90	Building.level.Educators	RPDC.Director	195
0	0.5	RPDC.Director	90	RPDC.Director	RPDC.Director	228
0	0.5	RPDC.Director	90	Area.Supervisor	RPDC.Director	261
0	0.5	RPDC.Director	90	Parents	RPDC.Director	294
0	0.5	RPDC.Director	90	Collaborative.teams	RPDC.Director	327
0	0.5	RPDC.Director	90	Common.formative.assessment	RPDC.Director	360
0	0.5	RPDC.Director	90	Data.based.decision.making	RPDC.Director	393
0	0.5	RPDC.Director	90	Effective.teaching.learning.practices	RPDC.Director	426
0	0.5	RPDC.Director	90	Instructional.Leadership	RPDC.Director	459
0	0.5	RPDC.Director	90	School.based.implementation.coaching	RPDC.Director	492
0	0.5	RPDC.Director	90	Collective.teacher.efficacy	RPDC.Director	525
0	0.5	RPDC.Director	90	MMD.DCI.expectations.logistics.DESE.specifics	RPDC.Director	558
0	0.5	RPDC.Director	90	Alignment.and.systems.planning	RPDC.Director	591
0	0.5	RPDC.Director	90	Practice.profiles	RPDC.Director	624
0	0.5	RPDC.Director	90	Self.assessment.practice.profile..SAPP.	RPDC.Director	657
0	0.5	RPDC.Director	90	Learning.module.materials..i.e..power.points..handouts.	RPDC.Director	690
0	0.5	RPDC.Director	90	DESE.virtual.learning.platform	RPDC.Director	723
0	0.5	RPDC.Director	90	Review.of.CFA.data	RPDC.Director	756
0	0.5	RPDC.Director	90	CWIS	RPDC.Director	789
0	0.5	RPDC.Director	90	Distance.Learning	RPDC.Director	822
0	0.5	RPDC.Director	90	Virtual.Learning.Modules.and.or.PowerPoints	RPDC.Director	855
0	0.5	RPDC.Director	90	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	RPDC.Director	888
0	0.5	RPDC.Director	90	Interaction.Type_Virtual	RPDC.Director	921
0	0.5	RPDC.Director	90	Interaction.Type_In-person	RPDC.Director	954
0	0.5	RPDC.Director	90	Interaction.Type_In-person and virtual	RPDC.Director	987
0	0.5	RPDC.Director	90	Interaction.Type_Phone	RPDC.Director	1020
0	0.5	RPDC.Director	90	Interaction.Type_Unknown	RPDC.Director	1053
2.42857142857143	0.5	RPDC.Director	90	ETLP_avg	RPDC.Director	1086
0	0.25	Area.Supervisor	90	District.Leadership.Team.Members	Area.Supervisor	2
0	0.25	Area.Supervisor	90	District.Contact.Person	Area.Supervisor	35
0	0.25	Area.Supervisor	90	Building.Leadership.Team.Members	Area.Supervisor	68
