x	y	tooltip	PANEL
0	1	0	4
-0.00354290144899893	2	-0.00354290144899893	4
0	1	0	4
0	2	0	4
0	1	0	4
0	2	0	4
-0.00384217052246315	1	-0.00384217052246315	4
-0.00528806709734644	2	-0.00528806709734644	4
-0.00175984087244817	1	-0.00175984087244817	4
-0.00602505533331353	2	-0.00602505533331353	4
0	1	0	4
0	2	0	4
0	1	0	4
0	2	0	4
0	1	0	4
0	2	0	4
0	1	0	4
0	2	0	4
-0.000130704808484922	1	-0.000130704808484922	4
0	2	0	4
-0.00660166900224743	1	-0.00660166900224743	5
0.0135299858105933	2	0.0135299858105933	5
0	3	0	5
0	1	0	5
0	2	0	5
0	3	0	5
-0.000987837466621226	1	-0.000987837466621226	5
0	2	0	5
0	3	0	5
-0.00584634390903029	1	-0.00584634390903029	5
0.01217580464518	2	0.01217580464518	5
0.0127222471277152	3	0.0127222471277152	5
0	1	0	5
0.016994819373114	2	0.016994819373114	5
0.0194172159922201	3	0.0194172159922201	5
0	1	0	5
0	2	0	5
0	3	0	5
0	1	0	5
0	2	0	5
0.0101894156282774	3	0.0101894156282774	5
0	1	0	5
0	2	0	5
0	3	0	5
0	1	0	5
0.0125016206411723	2	0.0125016206411723	5
0.00306343410697614	3	0.00306343410697614	5
-0.00412613356405133	1	-0.00412613356405133	5
0	2	0	5
0	3	0	5
-0.00228895332257742	1	-0.00228895332257742	6
0	1	0	6
-0.00133832762779783	1	-0.00133832762779783	6
-0.000806722703517192	1	-0.000806722703517192	6
-0.00121598441637517	1	-0.00121598441637517	6
0	1	0	6
0	1	0	6
0	1	0	6
-0.0038891019796232	1	-0.0038891019796232	6
0	1	0	6
-0.00790550076379248	1	-0.00790550076379248	7
0	1	0	7
0	1	0	7
-0.00871714420289052	1	-0.00871714420289052	7
-0.0121160296479475	1	-0.0121160296479475	7
-0.00688300651435605	1	-0.00688300651435605	7
0	1	0	7
-0.00134024379855305	1	-0.00134024379855305	7
-0.00728786627895901	1	-0.00728786627895901	7
0	1	0	7
0.0125492485662651	1	0.0125492485662651	8
0.0128853965642196	2	0.0128853965642196	8
0.000654501744594974	1	0.000654501744594974	8
0	2	0	8
0	1	0	8
0.00450083961034389	2	0.00450083961034389	8
0.0119232925327282	1	0.0119232925327282	8
0.021418114822683	2	0.021418114822683	8
0.0103284897907526	1	0.0103284897907526	8
0.0153864973046247	2	0.0153864973046247	8
0	1	0	8
0	2	0	8
0	1	0	8
0.00213611174198617	2	0.00213611174198617	8
0.00117919542971919	1	0.00117919542971919	8
0	2	0	8
0.00772295731479812	1	0.00772295731479812	8
0.0165314505220301	2	0.0165314505220301	8
0.00588838946378114	1	0.00588838946378114	8
0.00194060800047579	2	0.00194060800047579	8
-0.00541575767200782	1	-0.00541575767200782	9
-0.00209627133380466	2	-0.00209627133380466	9
-8.26628305157675e-06	1	-8.26628305157675e-06	9
0	2	0	9
-0.0120405440419541	1	-0.0120405440419541	9
-0.0030349796942952	2	-0.0030349796942952	9
-0.0163615740963308	1	-0.0163615740963308	9
-0.00576853786015898	2	-0.00576853786015898	9
-0.0247401345898827	1	-0.0247401345898827	9
0	2	0	9
0	1	0	9
-0.00189100737266196	2	-0.00189100737266196	9
