x	y	label	showSelected1	showSelected2	group
0.5	0	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Building.level.Educators	70
0.5	0	Other.District.Administrators	Other.District.Administrators	Building.level.Educators	103
0.5	0	Other.Building.Administrators	Other.Building.Administrators	Building.level.Educators	136
0.5	0	Building.level.Educators	Building.level.Educators	Building.level.Educators	169
0.5	0	RPDC.Director	RPDC.Director	Building.level.Educators	202
0.25	0	Area.Supervisor	Area.Supervisor	Building.level.Educators	235
0.0833333333333335	0	Parents	Parents	Building.level.Educators	268
0.5	0	Collaborative.teams	Collaborative.teams	Building.level.Educators	301
0.5	0	Common.formative.assessment	Common.formative.assessment	Building.level.Educators	334
0.5	0	Data.based.decision.making	Data.based.decision.making	Building.level.Educators	367
0.5	0	Effective.teaching.learning.practices	Effective.teaching.learning.practices	Building.level.Educators	400
0.5	0	Instructional.Leadership	Instructional.Leadership	Building.level.Educators	433
0.5	0	School.based.implementation.coaching	School.based.implementation.coaching	Building.level.Educators	466
0.25	0	Collective.teacher.efficacy	Collective.teacher.efficacy	Building.level.Educators	499
0.5	0	MMD.DCI.expectations.logistics.DESE.specifics	MMD.DCI.expectations.logistics.DESE.specifics	Building.level.Educators	532
0.5	0	Alignment.and.systems.planning	Alignment.and.systems.planning	Building.level.Educators	565
0.5	0	Practice.profiles	Practice.profiles	Building.level.Educators	598
0.5	0	Self.assessment.practice.profile..SAPP.	Self.assessment.practice.profile..SAPP.	Building.level.Educators	631
0.5	0	Learning.module.materials..i.e..power.points..handouts.	Learning.module.materials..i.e..power.points..handouts.	Building.level.Educators	664
0.5	0	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Building.level.Educators	697
0.5	0	Review.of.CFA.data	Review.of.CFA.data	Building.level.Educators	730
0.5	0	CWIS	CWIS	Building.level.Educators	763
0.375	0	Distance.Learning	Distance.Learning	Building.level.Educators	796
0.5	0	Virtual.Learning.Modules.and.or.PowerPoints	Virtual.Learning.Modules.and.or.PowerPoints	Building.level.Educators	829
0.25	0	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Building.level.Educators	862
31	0	Interaction.Type_Virtual	Interaction.Type_Virtual	Building.level.Educators	895
58.5	0	Interaction.Type_In-person	Interaction.Type_In-person	Building.level.Educators	928
3	0	Interaction.Type_In-person and virtual	Interaction.Type_In-person and virtual	Building.level.Educators	961
3.5	0	Interaction.Type_Phone	Interaction.Type_Phone	Building.level.Educators	994
1	0	Interaction.Type_Unknown	Interaction.Type_Unknown	Building.level.Educators	1027
3.71428571428572	0	ETLP_avg	ETLP_avg	Building.level.Educators	1060
0.5	0	District.Leadership.Team.Members	District.Leadership.Team.Members	RPDC.Director	30
0.5	0	District.Contact.Person	District.Contact.Person	RPDC.Director	63
0.5	0	Building.Leadership.Team.Members	Building.Leadership.Team.Members	RPDC.Director	96
0.5	0	Other.District.Administrators	Other.District.Administrators	RPDC.Director	129
0.5	0	Other.Building.Administrators	Other.Building.Administrators	RPDC.Director	162
0.5	0	Building.level.Educators	Building.level.Educators	RPDC.Director	195
0.5	0	RPDC.Director	RPDC.Director	RPDC.Director	228
0.25	0	Area.Supervisor	Area.Supervisor	RPDC.Director	261
0.0833333333333335	0	Parents	Parents	RPDC.Director	294
0.5	0	Collaborative.teams	Collaborative.teams	RPDC.Director	327
0.5	0	Common.formative.assessment	Common.formative.assessment	RPDC.Director	360
0.5	0	Data.based.decision.making	Data.based.decision.making	RPDC.Director	393
0.5	0	Effective.teaching.learning.practices	Effective.teaching.learning.practices	RPDC.Director	426
0.5	0	Instructional.Leadership	Instructional.Leadership	RPDC.Director	459
0.5	0	School.based.implementation.coaching	School.based.implementation.coaching	RPDC.Director	492
0.25	0	Collective.teacher.efficacy	Collective.teacher.efficacy	RPDC.Director	525
0.5	0	MMD.DCI.expectations.logistics.DESE.specifics	MMD.DCI.expectations.logistics.DESE.specifics	RPDC.Director	558
0.5	0	Alignment.and.systems.planning	Alignment.and.systems.planning	RPDC.Director	591
0.5	0	Practice.profiles	Practice.profiles	RPDC.Director	624
0.5	0	Self.assessment.practice.profile..SAPP.	Self.assessment.practice.profile..SAPP.	RPDC.Director	657
0.5	0	Learning.module.materials..i.e..power.points..handouts.	Learning.module.materials..i.e..power.points..handouts.	RPDC.Director	690
0.5	0	DESE.virtual.learning.platform	DESE.virtual.learning.platform	RPDC.Director	723
0.5	0	Review.of.CFA.data	Review.of.CFA.data	RPDC.Director	756
0.5	0	CWIS	CWIS	RPDC.Director	789
0.375	0	Distance.Learning	Distance.Learning	RPDC.Director	822
0.5	0	Virtual.Learning.Modules.and.or.PowerPoints	Virtual.Learning.Modules.and.or.PowerPoints	RPDC.Director	855
0.25	0	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	RPDC.Director	888
31	0	Interaction.Type_Virtual	Interaction.Type_Virtual	RPDC.Director	921
58.5	0	Interaction.Type_In-person	Interaction.Type_In-person	RPDC.Director	954
3	0	Interaction.Type_In-person and virtual	Interaction.Type_In-person and virtual	RPDC.Director	987
3.5	0	Interaction.Type_Phone	Interaction.Type_Phone	RPDC.Director	1020
1	0	Interaction.Type_Unknown	Interaction.Type_Unknown	RPDC.Director	1053
3.71428571428572	0	ETLP_avg	ETLP_avg	RPDC.Director	1086
0.5	0	District.Leadership.Team.Members	District.Leadership.Team.Members	Area.Supervisor	2
0.5	0	District.Contact.Person	District.Contact.Person	Area.Supervisor	35
0.5	0	Building.Leadership.Team.Members	Building.Leadership.Team.Members	Area.Supervisor	68
0.5	0	Other.District.Administrators	Other.District.Administrators	Area.Supervisor	101
0.5	0	Other.Building.Administrators	Other.Building.Administrators	Area.Supervisor	134
0.5	0	Building.level.Educators	Building.level.Educators	Area.Supervisor	167
0.5	0	RPDC.Director	RPDC.Director	Area.Supervisor	200
0.25	0	Area.Supervisor	Area.Supervisor	Area.Supervisor	233
0.0833333333333335	0	Parents	Parents	Area.Supervisor	266
0.5	0	Collaborative.teams	Collaborative.teams	Area.Supervisor	299
0.5	0	Common.formative.assessment	Common.formative.assessment	Area.Supervisor	332
0.5	0	Data.based.decision.making	Data.based.decision.making	Area.Supervisor	365
0.5	0	Effective.teaching.learning.practices	Effective.teaching.learning.practices	Area.Supervisor	398
0.5	0	Instructional.Leadership	Instructional.Leadership	Area.Supervisor	431
0.5	0	School.based.implementation.coaching	School.based.implementation.coaching	Area.Supervisor	464
0.25	0	Collective.teacher.efficacy	Collective.teacher.efficacy	Area.Supervisor	497
0.5	0	MMD.DCI.expectations.logistics.DESE.specifics	MMD.DCI.expectations.logistics.DESE.specifics	Area.Supervisor	530
0.5	0	Alignment.and.systems.planning	Alignment.and.systems.planning	Area.Supervisor	563
0.5	0	Practice.profiles	Practice.profiles	Area.Supervisor	596
0.5	0	Self.assessment.practice.profile..SAPP.	Self.assessment.practice.profile..SAPP.	Area.Supervisor	629
0.5	0	Learning.module.materials..i.e..power.points..handouts.	Learning.module.materials..i.e..power.points..handouts.	Area.Supervisor	662
0.5	0	DESE.virtual.learning.platform	DESE.virtual.learning.platform	Area.Supervisor	695
0.5	0	Review.of.CFA.data	Review.of.CFA.data	Area.Supervisor	728
0.5	0	CWIS	CWIS	Area.Supervisor	761
0.375	0	Distance.Learning	Distance.Learning	Area.Supervisor	794
0.5	0	Virtual.Learning.Modules.and.or.PowerPoints	Virtual.Learning.Modules.and.or.PowerPoints	Area.Supervisor	827
0.25	0	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Leadership.for.Effective.Implementation.of.District.Wide.Evidenced.Based.Practices	Area.Supervisor	860
31	0	Interaction.Type_Virtual	Interaction.Type_Virtual	Area.Supervisor	893
58.5	0	Interaction.Type_In-person	Interaction.Type_In-person	Area.Supervisor	926
3	0	Interaction.Type_In-person and virtual	Interaction.Type_In-person and virtual	Area.Supervisor	959
