group	x
1111	1
1112	11
1113	1
1114	23
1115	0
1116	4
1117	7
1118	6
1119	4
1120	2
1121	7
1122	5
1123	1
1124	7
1125	8
1126	2
1127	2
1128	2
1129	1
1130	4
1131	3
1132	2
1133	4
1134	4
1135	4
1136	0
1137	7
1138	3
1139	3
1140	3
1141	16
1142	11
1143	55
1144	19
1145	5
1146	1
1147	3
1148	10
1149	7
1150	27
1151	1
1152	2
1153	6
1154	2
1155	14
1156	4
1157	3
1158	4
1159	4
1160	2
1161	1
1162	1
1163	6
1164	1
1165	18
1166	0
1167	25
1168	8
1169	3
1170	2
1171	9
1172	10
1173	11
1174	2
1175	0
1176	0
1177	13
1178	2
1179	16
1180	2
1181	1
1182	11
1183	4
1184	5
1185	0
1186	8
1187	19
1188	15
1189	9
1190	1
1191	1
1192	6
1193	2
1194	9
1195	19
1196	3
1197	7
1198	13
1199	5
1200	2
1201	2
1202	3
1203	2
1204	0
1205	43
1206	12
1207	3
1208	63
1209	9
1210	47
1211	0
1212	8
1213	6
1214	3
1215	8
1216	4
1217	2
1218	6
1219	5
1220	13
1221	17
1222	4
1223	5
1224	0
1225	6
1226	6
1227	2
1228	5
1229	5
1230	2
1231	3
1232	7
1233	4
1234	0
1235	2
1236	1
1237	1
1238	69
1239	19
1240	43
1241	1
1242	0
1243	10
1244	18
1245	20
1246	8
1247	60
1248	1
1249	79
1250	39
1251	24
1252	0
1253	0
1254	33
1255	0
1256	3
1257	3
1258	13
1259	4
1260	15
1261	8
1262	3
1263	8
1264	5
1265	2
1266	3
1267	7
1268	9
1269	0
1270	0
1271	13
1272	4
1273	1
1274	0
1275	9
1276	0
1277	18
1278	4
1279	4
1280	2
1281	3
1282	1
1283	5
1284	0
1285	12
1286	2
1287	2
1288	9
1289	7
1290	0
1291	1
1292	0
1293	1
1294	0
1295	4
1296	2
1297	4
1298	23
1299	8
1300	2
1301	3
1302	6
1303	4
1304	7
1305	3
1306	3
1307	0
1308	5
1309	3
1310	1
1311	1
1312	7
1313	4
1314	1
1315	3
1316	0
1317	10
1318	1
1319	6
1320	7
1321	12
1322	5
1323	7
1324	2
1325	11
1326	2
1327	10
1328	4
1329	4
1330	14
1331	10
1332	27
1333	0
1334	4
1335	1
1336	1
1337	1
1338	5
1339	4
1340	2
1341	0
1342	2
1343	1
1344	10
1345	3
1346	2
1347	21
1348	4
1349	6
1350	4
1351	0
1352	9
1353	1
1354	12
1355	25
1356	0
1357	0
1358	1
1359	12
1360	1
1361	2
1362	1
1363	9
1364	2
1365	5
1366	3
1367	4
1368	3
1369	1
1370	4
1371	12
1372	1
1373	32
1374	22
1375	15
1376	7
1377	6
1378	4
1379	1
1380	6
1381	1
1382	0
1383	7
1384	3
1385	0
1386	4
1387	12
1388	4
1389	6
1390	26
1391	33
1392	3
1393	1
1394	1
1395	1
1396	11
1397	4
1398	4
1399	10
1400	1
1401	0
1402	6
1403	7
1404	1
1405	0
1406	1
1407	6
1408	4
1409	22
1410	4
1411	0
1412	27
1413	4
1414	0
1415	13
1416	0
1417	25
1418	1
1419	3
1420	4
1421	0
1422	6
1423	3
1424	2
1425	4
1426	3
1427	5
1428	5
1429	9
1430	6
1431	3
1432	2
1433	3
1434	12
1435	3
1436	1
1437	3
1438	0
1439	5
1440	2
1441	2
1442	1
1443	4
1444	4
1445	3
1446	1
1447	7
1448	2
1449	17
1450	6
1451	3
1452	1
1453	15
1454	32
1455	2
1456	2
1457	16
1458	13
1459	5
1460	1
1461	7
1462	5
1463	6
1464	13
1465	5
1466	9
1467	3
1468	3
1469	2
1470	0
1471	0
1472	2
1473	2
1474	10
1475	6
1476	18
1477	7
1478	2
1479	1
1480	8
1481	6
1482	15
1483	4
1484	5
1485	3
1486	3
1487	4
1488	0
1489	7
1490	15
1491	3
1492	18
1493	18
1494	6
1495	8
1496	6
1497	0
1498	8
1499	3
1500	5
1501	1
1502	10
1503	2
1504	11
1505	4
1506	2
1507	33
1508	20
1509	1
1510	1
1511	1
1512	9
1513	4
1514	12
1515	9
1516	18
1517	2
1518	11
1519	23
1520	14
1521	7
1522	5
1523	5
1524	1
1525	12
1526	12
1527	7
1528	3
1529	18
1530	7
1531	22
1532	5
1533	3
1534	5
1535	7
1536	4
1537	11
1538	1
1539	6
1540	2
1541	3
1542	1
1543	4
1544	5
1545	7
1546	2
1547	17
1548	1
1549	79
1550	57
1551	5
1552	13
1553	1
1554	1
1555	6
1556	2
1557	5
1558	1
1559	16
1560	1
1561	6
1562	2
1563	9
1564	5
1565	7
1566	8
1567	4
1568	4
1569	12
1570	5
1571	2
1572	3
1573	8
1574	4
1575	6
1576	1
1577	4
1578	1
1579	0
1580	2
1581	3
1582	5
1583	12
1584	5
1585	2
1586	0
1587	28
1588	19
1589	13
1590	4
1591	28
1592	4
1593	4
1594	0
1595	21
1596	3
1597	117
1598	59
1599	5
1600	3
1601	3
1602	15
1603	2
1604	0
1605	5
1606	2
1607	10
1608	19
1609	12
1610	40
1611	11
1612	5
1613	4
1614	12
1615	3
1616	20
1617	4
1618	1
1619	11
1620	7
1621	1
1622	50
1623	7
1624	15
1625	6
1626	9
1627	12
1628	14
1629	7
1630	5
1631	3
1632	5
1633	1
1634	2
1635	3
1636	2
1637	0
1638	4
1639	1
1640	21
1641	50
1642	0
1643	0
1644	0
1645	3
1646	7
1647	1
1648	0
1649	3
1650	8
1651	4
1652	3
1653	4
1654	0
1655	1
1656	11
1657	1
1658	23
1659	0
1660	4
1661	7
1662	6
1663	4
1664	2
1665	7
1666	5
1667	1
1668	7
1669	8
1670	2
1671	2
1672	2
1673	1
1674	4
1675	3
1676	2
1677	4
1678	4
1679	4
1680	0
1681	7
1682	3
1683	3
1684	3
1685	16
1686	11
1687	55
1688	19
1689	5
1690	1
1691	3
1692	10
1693	7
1694	27
1695	1
1696	2
1697	6
1698	2
1699	14
1700	4
1701	3
1702	4
1703	4
1704	2
1705	1
1706	1
1707	6
1708	1
1709	18
1710	0
1711	25
1712	8
1713	3
1714	2
1715	9
1716	10
1717	11
1718	2
1719	0
1720	0
1721	13
1722	2
1723	16
1724	2
1725	1
1726	11
1727	4
1728	5
1729	0
1730	8
1731	19
1732	15
1733	9
1734	1
1735	1
1736	6
1737	2
1738	9
1739	19
1740	3
1741	7
1742	13
1743	5
1744	2
1745	2
1746	3
1747	2
1748	0
1749	43
1750	12
1751	3
1752	63
1753	9
1754	47
1755	0
1756	8
1757	6
1758	3
1759	8
1760	4
1761	2
1762	6
1763	5
1764	13
1765	17
1766	4
1767	5
